KEY,English,Deutsch,Français,Italiano,Spanish,Portuguese (Euro),Portuguese (Brazil),Polish,Russian,Japanese,Chinese (simplified),Chinese (traditional),Korean,Turkish,Greek,Dutch,Vietnamese
pdaTP_GCaGSSK,Congratulations! You discovered a new type of Moon:\n\nCheck the Empyriopedia (F1) for more information about this Moon class and the benefits of exploring the galaxy!,,,,,,,,,,恭喜！你发现了一种新类型的卫星：\n\n请查看帝国百科（F1）了解关于该卫星类别以及探索银河的更多信息！,,,,,,
pdaTP_G88KS,... Analysing Data ...,,,,,,,,,,... 分析数据中 ...,,,,,,
pdaTP_Ca4W0,==,,,,,,,,,,==,,,,,,
pdaTP_0OOY8,Planetary Moon discovered!,,,,,,,,,,发现行星卫星！,,,,,,
pdaTP_Nq8qS,Asteroid Field (Poor),,,,,,,,,,小行星带（贫瘠）,,,,,,
pdaTP_umqiK,Asteroid Fields,,,,,,,,,,小行星带,,,,,,
pdaTP_DKeOq,"Radiation: 5-10\nTemperature: -200 to -100\n\nResource Asteroids (Probability Factor - Count min/max)\n- Iron (0.5, 1-1)\n- Copper (0.4, 1-1)\n- Silicon (0.5, 1-1)\n- Magnesium (0.3, 1-1)\n- Cobalt (0.4, 1-1)\n- Neodymium (0.3, 1-1)\n- Promethium (0.3, 1-1)\n- Sathium (0.3, 1-1)\n- Erestrum (0.3, 1-1)\n- Zascosium (0.1, 1-1)\n- Pentaxid (0.1, 1-1)\n- Gold (0.1, 1-1)\n- Ice (0.5, 2-3)\n- Titanium (0.3, 1-1)",,,,,,,,,,"辐射: 5-10\n温度: -200 到 -100\n\n资源小行星 (概率系数 - 数量最小/最大)\n- 铁 (0.5, 1-1)\n- 铜 (0.4, 1-1)\n- 硅 (0.5, 1-1)\n- 镁 (0.3, 1-1)\n- 钴 (0.4, 1-1)\n- 钕 (0.3, 1-1)\n- 钷 (0.3, 1-1)\n- 钑 (0.3, 1-1)\n- 锷 (0.3, 1-1)\n- 铡 (0.1, 1-1)\n- 翘曲水晶 (0.1, 1-1)\n- 金 (0.1, 1-1)\n- 冰 (0.5, 2-3)\n- 钛 (0.3, 1-1)",,,,,,
pdaTP_iGe4Ki4,Congratulations! You discovered a new type of Asteroid Field:\n\nCheck the Empyriopedia (F1) for more information about this system space and the benefits of exploring the galaxy!,,,,,,,,,,恭喜！你发现了一种新类型的小行星带：\n\n请查看帝国百科（F1）了解关于该星系空间以及探索银河的更多信息！,,,,,,
pdaTP_0C8q6,Asteroid Field discovered!,,,,,,,,,,发现小行星带！,,,,,,
pdaTP_ui2ES,... Analysing Data ...,,,,,,,,,,... 分析数据中 ...,,,,,,
pdaTP_C4i4i,==,,,,,,,,,,==,,,,,,
pdaTP_4m8uK,Asteroid Field,,,,,,,,,,小行星带,,,,,,
pdaTP_G8Cq0Gm,Congratulations! You discovered a new type of Asteroid Field:\n\nCheck the Empyriopedia (F1) for more information about this system space and the benefits of exploring the galaxy!,,,,,,,,,,恭喜！你发现了一种新类型的小行星带：\n\n请查看帝国百科（F1）了解关于该星系空间以及探索银河的更多信息！,,,,,,
pdaTP_ia8WO,"Radiation: 5-10\nTemperature: -200 to -100\n\nResource Asteroids (Probability Factor - Count min/max)\n- Iron (0.5, 1-3)\n- Copper (0.4, 1-3)\n- Silicon (0.5, 1-3)\n- Magnesium (0.3, 1-3)\n- Cobalt (0.3, 1-3)\n- Neodymium (0.3, 1-3)\n- Promethium (0.3, 1-2)\n- Sathium (0.4, 1-3)\n- Erestrum (0.3, 1-2)\n- Zascosium (0.1, 1-2)\n- Pentaxid (0.1, 1-2)\n- Gold (0.1, 1-2)\n- Ice (0.5, 2-4)\n- Titanium (0.3, 1-3)",,,,,,,,,,"辐射：5-10\n温度：-200至-100\n\n资源小行星 (概率因子 - 数量 最小/最大)\n- 铁 (0.5, 1-3)\n- 铜 (0.4, 1-3)\n- 硅 (0.5, 1-3)\n- 镁 (0.3, 1-3)\n- 钴 (0.3, 1-3)\n- 钕 (0.3, 1-3)\n- 钷 (0.3, 1-2)\n- 钑 (0.4, 1-3)\n- 锷 (0.3, 1-2)\n- 铡 (0.1, 1-2)\n- 翘曲水晶（原料） (0.1, 1-2)\n- 金 (0.1, 1-2)\n- 冰 (0.5, 2-4)\n- 钛 (0.3, 1-3)",,,,,,
pdaTP_KeGmW,Asteroid Field discovered!,,,,,,,,,,发现小行星带！,,,,,,
pdaTP_88O8U,... Analysing Data ...,,,,,,,,,,... 分析数据中 ...,,,,,,
pdaTP_eOqi8,==,,,,,,,,,,==,,,,,,
pdaTP_eeqNu,Asteroid Field (Junkyard),,,,,,,,,,小行星带（垃圾场）,,,,,,
pdaTP_CiWeG,"An asteroid field with a lot of wrecks waiting to be salvaged. Expect hostile encounters!\n\nRadiation: 5-10\nTemperature: -200 to -100\n\nResource Asteroids (Probability Factor - Count min/max)\n- Copper (0.2, 1-3)\n- Ice (0.5, 2-4)\n- Titanium (0.2, 1-2)",,,,,,,,,,"一个充满残骸的小行星带，等待回收。小心敌对遭遇！\n\n辐射：5-10\n温度：-200 至 -100\n\n资源小行星（概率因子 - 最小/最大数量）\n- 铜 (0.2, 1-3)\n- 冰 (0.5, 2-4)\n- 钛 (0.2, 1-2)",,,,,,
pdaTP_qC0Ou80,Congratulations! You discovered a new type of Asteroid Field: Asteroid Field (Junkyard)\n\nCheck the Empyriopedia (F1) for more information about this system space and the benefits of exploring the galaxy!,,,,,,,,,,祝贺！你发现了一个新类型的小行星带：小行星带（废料场）\n\n请查看帝国百科（F1）了解更多关于此星系空间的信息以及探索星系的收益！,,,,,,
pdaTP_mVWa1,Asteroid Field discovered!,,,,,,,,,,发现小行星带！,,,,,,
pdaTP_WWi4S,... Analysing Data ...,,,,,,,,,,... 正在分析数据 ...,,,,,,
pdaTP_eCuWC,==,,,,,,,,,,==,,,,,,
pdaTP_0CqSA,Asteroid Field (Rich),,,,,,,,,,小行星带（富矿）,,,,,,
pdaTP_S8G4m,"Radiation: 5-10\nTemperature: -200 to -100\n\nResource Asteroids (Probability Factor - Count min/max)\n- Iron (0.5, 1-5)\n- Copper (0.4, 1-5)\n- Silicon (0.5, 1-5)\n- Magnesium (0.3, 1-4)\n- Cobalt (0.3, 1-5)\n- Neodymium (0.4, 1-4)\n- Promethium (0.4, 1-3)\n- Sathium (0.4, 1-4)\n- Erestrum (0.3, 1-3)\n- Zascosium (0.3, 1-3)\n- Pentaxid (0.3, 1-3)\n- Gold (0.3, 1-3)\n- Ice (0.5, 2-4)\n- Titanium (0.4, 1-4)",,,,,,,,,,"辐射：5-10\n温度：-200至-100\n\n资源小行星 (概率因子 - 数量 最小/最大)\n- 铁 (0.5, 1-5)\n- 铜 (0.4, 1-5)\n- 硅 (0.5, 1-5)\n- 镁 (0.3, 1-4)\n- 钴 (0.3, 1-5)\n- 钕 (0.4, 1-4)\n- 钷 (0.4, 1-3)\n- 钑 (0.4, 1-4)\n- 锷 (0.3, 1-3)\n- 铡 (0.3, 1-3)\n- 翘曲水晶（原料） (0.3, 1-3)\n- 金 (0.3, 1-3)\n- 冰 (0.5, 2-4)\n- 钛 (0.4, 1-4)",,,,,,
pdaTP_mOuq8GU,Congratulations! You discovered a new type of Asteroid Field:\n\nCheck the Empyriopedia (F1) for more information about this system space and the benefits of exploring the galaxy!,,,,,,,,,,祝贺！你发现了一个新类型的小行星带：\n\n请查看帝国百科（F1）了解更多关于此星系空间的信息以及探索星系的收益！,,,,,,
pdaTP_eiGCO,Asteroid Field discovered!,,,,,,,,,,发现小行星带！,,,,,,
pdaTP_WqCWI,... Analysing Data ...,,,,,,,,,,... 正在分析数据 ...,,,,,,
pdaTP_2muWC,==,,,,,,,,,,==,,,,,,
pdaTP_mSieC,Asteroid Field (Pirates),,,,,,,,,,小行星带（海盗）,,,,,,
pdaTP_OmqiiOW,Congratulations! You discovered a new type of Asteroid Field:\n\nCheck the Empyriopedia (F1) for more information about this system space and the benefits of exploring the galaxy!,,,,,,,,,,祝贺！你发现了一个新类型的小行星带：\n\n请查看帝国百科（F1）了解更多关于此星系空间的信息以及探索星系的收益！,,,,,,
pdaTP_iUWQS,"Pirates have claimed this asteroid field for their purposes. A perfect opportunity for adventurers, a dangerous place for most other pilots.\n\nRadiation: 5-10\nTemperature: -200 to -100\n\nResource Asteroids (Probability Factor - Count min/max)\n- Promethium (0.3, 1-1)\n- Sathium (0.4, 1-1)\n- Pentaxid (0.1, 1-1)\n- Gold (0.1, 1-1)\n- Ice (0.5, 1-2)\n- Titanium (0.4, 1-1)\n- Aluminium (0.6, 1-1)\n- Platinum (0.5, 1-1)",,,,,,,,,,"海盗已占领此小行星带用于他们的目的。对冒险者来说是绝佳机会，对大多数其他飞行员则是危险之地。\n\n辐射：5-10\n温度：-200 至 -100\n\n资源小行星（概率因子 - 数量最小/最大）\n- 钷 (0.3, 1-1)\n- 钑 (0.4, 1-1)\n- 翘曲水晶 (0.1, 1-1)\n- 金 (0.1, 1-1)\n- 冰 (0.5, 1-2)\n- 钛 (0.4, 1-1)\n- 铝 (0.6, 1-1)\n- 铂 (0.5, 1-1)",,,,,,
pdaTP_ieWeG,Asteroid Field discovered!,,,,,,,,,,发现小行星带！,,,,,,
pdaTP_4qMni,... Analysing Data ...,,,,,,,,,,... 正在分析数据 ...,,,,,,
pdaTP_KSiKG,==,,,,,,,,,,==,,,,,,
pdaTP_40CUq,Empty Sector,,,,,,,,,,空寂星区,,,,,,
pdaTP_CaqJO,Orbital Sectors,,,,,,,,,,轨道星区,,,,,,
pdaZA_8KeumqG,Congratulations! You discovered a new type of Space Sector:\n\nCheck the Empyriopedia (F1) for more information about this system space and the benefits of exploring the galaxy!,,,,,,,,,,恭喜！你发现了一种新型太空星区：\n\n请查阅帝国百科（F1）以获取有关此星系空间及探索银河的增益信息！,,,,,,
pdaTP_eu800,A seemingly empty sector of space Nothing to see here...  ... or is there..?,,,,,,,,,,一个看似空荡荡的太空星区。这里什么也没有……  ……或许有什么呢？,,,,,,
pdaTP_84qO9,Space Sector discovered!,,,,,,,,,,发现太空星区！,,,,,,
pdaTP_i845S,... Analysing Data ...,,,,,,,,,,... 正在分析数据 ...,,,,,,
pdaTP_Wm8ua,==,,,,,,,,,,==,,,,,,
pdaTP_WqeaC,Warp Gate Sector (Sun),,,,,,,,,,跃迁门星区（太阳）,,,,,,
pdaZA_Cq4mu80,Congratulations! You discovered a new type of Space Sector:\n\nCheck the Empyriopedia (F1) for more information about this system space and the benefits of exploring the galaxy!,,,,,,,,,,恭喜！你发现了一种新型太空星区：\n\n请查阅帝国百科（F1）以获取有关此星系空间及探索银河的增益信息！,,,,,,
pdaTP_iime0,"An empty sector very close to the sun. Depending on which direction you came from, there are 6 possible exit points: front, back, up, down, left, right.\n\nYou will always exit your warp travel in one of them.\n\n[c][ff0000]Important[-][/c]: When travelling in a ""Fleet"" Make sure to NOT warp away leaving ships and vessels in your arrival sector - you will not be able to warp back from within the solar system to your arrival sector, due to gravitational and subspace effects!",,,,,,,,,,"一个非常靠近太阳的空寂星区。根据你来的方向，有6个可能的出口点：前、后、上、下、左、右。\n\n你总是会在其中一点退出你的翘曲旅行。\n\n[c][ff0000]重要提示[-][/c]：当以""舰队""形式旅行时，确保不要翘曲离开，将飞船留在你的抵达星区——由于引力和亚空间效应，你将无法从太阳系内部翘曲回到你的抵达星区！",,,,,,
pdaTP_m8MG1,Space Sector discovered!,,,,,,,,,,发现太空星区！,,,,,,
pdaTP_0egqW,... Analysing Data ...,,,,,,,,,,... 正在分析数据 ...,,,,,,
pdaTP_O408a,==,,,,,,,,,,==,,,,,,
pdaTP_8kuSP,Trading Stations,,,,,,,,,,贸易站,,,,,,
pdaTP_qUmcau0,Congratulations! You discovered a new type of Space Sector:\n\nCheck the Empyriopedia (F1) for more information about this system space and the benefits of exploring the galaxy!,,,,,,,,,,恭喜！你发现了一种新型太空星区：\n\n请查阅帝国百科（F1）以获取有关此星系空间及探索银河的增益信息！,,,,,,
pdaTP_8C0Cv,"Most of the inhabited solar systems have a sector hosting an official trading station. A good opportunity for all traders and adventurers!\n\nRadiation: 5-10\nTemperature: -200 to -100\n\nResource Asteroids (Probability Factor - Count min/max)\n- Iron (0.4, 1-3)\n- Copper (0.4, 1-3)\n- Silicon (0.4, 1-3)\n- Magnesium (0.4, 1-3)\n- Cobalt (0.4, 1-3)\n- Promethium (0.4, 1-3)\n- Sathium (0.4, 1-3)\n- Erestrum (0.3, 1-3)\n- Zascosium (0.3, 1-3)\n- Pentaxid (0.3, 1-3)\n- Gold (0.3, 1-3)\n- Titanium (0.4, 1-3)",,,,,,,,,,"大多数有人居住的恒星系中都有一个星区设有官方贸易站。这对所有商人和冒险者来说都是个好机会！\n\n辐射：5-10\n温度：-200 至 -100\n\n资源小行星（概率系数 - 数量 最小/最大）\n- 铁 (0.4, 1-3)\n- 铜 (0.4, 1-3)\n- 硅 (0.4, 1-3)\n- 镁 (0.4, 1-3)\n- 钴 (0.4, 1-3)\n- 钷 (0.4, 1-3)\n- 钑 (0.4, 1-3)\n- 锷 (0.3, 1-3)\n- 铡 (0.3, 1-3)\n- 翘曲水晶 (0.3, 1-3)\n- 金 (0.3, 1-3)\n- 钛 (0.4, 1-3)",,,,,,
pdaTP_8Kuea,Space Sector discovered!,,,,,,,,,,发现太空星区！,,,,,,
pdaTP_eKmOO,... Analysing Data ...,,,,,,,,,,... 正在分析数据 ...,,,,,,
pdaTP_K8eec,==,,,,,,,,,,==,,,,,,
pdaTP_uW8xi,Standard Orbit,,,,,,,,,,标准轨道,,,,,,
pdaZA_8i84mmu,Congratulations! You discovered a new type of Orbital Space Sector: Standard Orbit\n\nCheck the Empyriopedia (F1) for more information about this system space and the benefits of exploring the galaxy!,,,,,,,,,,恭喜！你发现了一种新型轨道太空星区：标准轨道\n\n请查阅帝国百科（F1）以获取有关此星系空间及探索银河的增益信息！,,,,,,
pdaTP_K4uKT,Orbital Space type discovered!,,,,,,,,,,发现轨道太空类型！,,,,,,
pdaTP_40GGw,... Analysing Data ...,,,,,,,,,,... 正在分析数据 ...,,,,,,
pdaTP_4uqOG,==,,,,,,,,,,==,,,,,,
pdaZA_gGrimi0,Congratulations! You discovered a new type of Orbital Space Sector:\n\nCheck the Empyriopedia (F1) for more information about this system space and the benefits of exploring the galaxy!,,,,,,,,,,恭喜！你发现了一种新型轨道太空星区：\n\n请查阅帝国百科（F1）以获取有关此星系空间及探索银河的增益信息！,,,,,,
pdaTP_Kqu4S,Orbital Space: Special,,,,,,,,,,轨道太空：特殊,,,,,,
pdaTP_aK48a,Orbital Space type discovered!,,,,,,,,,,发现轨道太空类型！,,,,,,
pdaTP_iuW0q,... Analysing Data ...,,,,,,,,,,... 正在分析数据 ...,,,,,,
pdaTP_e8GWu,==,,,,,,,,,,==,,,,,,
pdaTP_GVe4S,SpaceOrbitFixed,,,,,,,,,,太空轨道固定,,,,,,
pdaTP_YqWi4,Orbital Space type discovered!,,,,,,,,,,发现轨道太空类型！,,,,,,
pdaTP_444G0,... Analysing Data ...,,,,,,,,,,... 正在分析数据 ...,,,,,,
pdaTP_SGWim,==,,,,,,,,,,==,,,,,,
pdaTP_e8ui8,"An O-type star is a hot, blue-white star of spectral type O in the Yerkes classification system employed by astronomers. They have temperatures in excess of 30,000 Kelvin (K)\n\nSpectral Class: O\nType: Blue\nGalaxy Probability: 0.0125\nSize Class: 12\nSurface Temperature: 30000 - 50000 K\nMass: 40x solar sun masses\nRadius: 18x solar sun radii\nLuminosity: 500000x solar sun\nLifespan: 0.01 billion years\nHabitable zone: 109 - 144 AU\n\n[i]Note: Currently it is not possible to fly into the atmosphere of any sun-type or other celestial bodies.[/i]",,,,,,,,,,"O型星是一种炽热的蓝白色恒星，在天文学家采用的耶基斯分类系统中属于光谱类型O。它们的温度超过30,000开尔文（K）\n\n光谱类型：O\n类型：蓝色\n星系概率：0.0125\n尺寸等级：12\n表面温度：30000 - 50000 K\n质量：40倍太阳质量\n半径：18倍太阳半径\n光度：500000倍太阳\n寿命：0.01亿年\n宜居带：109 - 144 天文单位\n\n[i]注意：目前无法飞入任何太阳类型或其他天体的大气层。[/i]",,,,,,
pdaTP_RSo44,Spectral Class: O Star,,,,,,,,,,光谱类型：O型星,,,,,,
pdaTP_emqaCuW,This is you first visit to this Class of Star!\n\nCheck the Empyriopedia (F1) for more information about this Stella type and the benefits of exploring the galaxy!,,,,,,,,,,这是你首次访问此类恒星！\n\n请查看帝国百科（F1）以获取更多关于此恒星类型及其探索星系增益的信息！,,,,,,
pdaTP_Si80S,New Star type discovered!,,,,,,,,,,发现新恒星类型！,,,,,,
pdaTP_KWSWe,... Analysing Data ...,,,,,,,,,,... 正在分析数据 ...,,,,,,
pdaTP_SmmFe,==,,,,,,,,,,==,,,,,,
pdaTP_5q4u4,Sun Types,,,,,,,,,,太阳类型,,,,,,
pdaTP_6Sqi2,"A B-type main-sequence star (B V) is a main-sequence (hydrogen-burning) star of spectral type B and luminosity class V. These stars have from 2 to 16 times the mass of the Sun and surface temperatures between 10,000 and 30,000 K. B-type stars are extremely luminous and blue.\n\nSpectral Class: B\nType: Blue-White\nGalaxy Probability: 0.025\nSize Class: 12\nSurface Temperature: 10000 - 30000 K\nMass: 18x solar sun masses\nRadius: 8x solar sun radii\nLuminosity: 800x solar sun\nLifespan: 0.25 billion years\nHabitable zone: 93 - 122 AU\n\n[i]Note: Currently it is not possible to fly into the atmosphere of any sun-type or other celestial bodies.[/i]",,,,,,,,,,B型主序星（B V）是光谱类型B、光度等级V的主序（氢燃烧）恒星。其质量为太阳的2至16倍，表面温度在10000至30000 K之间。B型星极其明亮且呈蓝色。\n\n光谱类型：B\n类型：蓝白\n星系概率：0.025\n尺寸等级：12\n表面温度：10000 - 30000 K\n质量：18倍太阳质量\n半径：8倍太阳半径\n光度：800倍太阳光度\n寿命：2.5亿年\n宜居带：93 - 122 AU\n\n[i]注意：目前无法飞入任何太阳型或其他天体的大气层。[/i],,,,,,
pdaTP_CeaOG,Spectral Class: B Star,,,,,,,,,,光谱类型：B型恒星,,,,,,
pdaTP_UiG2W8e,This is you first visit to this Class of Star!\n\nCheck the Empyriopedia (F1) for more information about this Stella type and the benefits of exploring the galaxy!,,,,,,,,,,这是你首次访问此类恒星！\n\n查看帝国百科（F1）了解更多关于该类恒星的信息以及探索星系的增益！,,,,,,
pdaTP_G4YKi,New Star type discovered!,,,,,,,,,,发现新恒星类型！,,,,,,
pdaTP_5mmS4,... Analysing Data ...,,,,,,,,,,正在分析数据...,,,,,,
pdaTP_qSO0G,"An A-type main-sequence star is a main-sequence (hydrogen-burning) star of spectral type A and luminosity class V. They have masses from 1.4 to 2.1 times the mass of the Sun and surface temperatures between 7600 and 10,000 K\n\nSpectral Class: A\nType: White\nGalaxy Probability: 0.05\nSize Class: 11\nSurface Temperature: 7500 - 10000 K\nMass: 2.2x solar sun masses\nRadius: 2.4x solar sun radii\nLuminosity: 25x solar sun\nLifespan: 0.5 billion years\nHabitable zone: 79 - 104 AU\n\n[i]Note: Currently it is not possible to fly into the atmosphere of any sun-type or other celestial bodies.[/i]",,,,,,,,,,A型主序星是光谱类型A、光度等级V的主序（氢燃烧）恒星。其质量为太阳的1.4至2.1倍，表面温度在7600至10000 K之间。\n\n光谱类型：A\n类型：白\n星系概率：0.05\n尺寸等级：11\n表面温度：7500 - 10000 K\n质量：2.2倍太阳质量\n半径：2.4倍太阳半径\n光度：25倍太阳光度\n寿命：5亿年\n宜居带：79 - 104 AU\n\n[i]注意：目前无法飞入任何太阳型或其他天体的大气层。[/i],,,,,,
pdaTP_K4auW,Spectral Class: A Star,,,,,,,,,,光谱类型：A型恒星,,,,,,
pdaTP_Ga0aOGj,This is you first visit to this Class of Star!\n\nCheck the Empyriopedia (F1) for more information about this Stella type and the benefits of exploring the galaxy!,,,,,,,,,,这是你首次访问此类恒星！\n\n查看帝国百科（F1）了解更多关于该类恒星的信息以及探索星系的增益！,,,,,,
pdaTP_8Ru4e,New Star type discovered!,,,,,,,,,,发现新恒星类型！,,,,,,
pdaTP_S0OWa,... Analysing Data ...,,,,,,,,,,正在分析数据...,,,,,,
pdaTP_0KuQe,"F-type stars have strengthening spectral lines H and K of Ca II. Neutral metals (Fe I, Cr I) beginning to gain on ionized metal lines by late F. Their spectra are characterized by the weaker hydrogen lines and ionized metals. Their color is a bright yellow-white.\n\nSpectral Class: F\nType: Yellow-White\nGalaxy Probability: 0.1\nSize Class: 11\nSurface Temperature: 6000 - 7500 K\nMass: 1.5x solar sun masses\nRadius: 1.8x solar sun radii\nLuminosity: 4.4x solar sun\nLifespan: 1 billion years\nHabitable zone: 67 - 88 AU\n\n[i]Note: Currently it is not possible to fly into the atmosphere of any sun-type or other celestial bodies.[/i]",,,,,,,,,,F型恒星的Ca II谱线H和K增强。到F型晚期，中性金属（Fe I、Cr I）开始赶上电离金属线。其光谱特征为较弱的氢线和电离金属。颜色为明亮的黄白色。\n\n光谱类型：F\n类型：黄白\n星系概率：0.1\n尺寸等级：11\n表面温度：6000 - 7500 K\n质量：1.5倍太阳质量\n半径：1.8倍太阳半径\n光度：4.4倍太阳光度\n寿命：10亿年\n宜居带：67 - 88 AU\n\n[i]注意：目前无法飞入任何太阳型或其他天体的大气层。[/i],,,,,,
pdaTP_EmU8m,Spectral Class: F Star,,,,,,,,,,光谱类型：F型恒星,,,,,,
pdaTP_a4uKCSO,This is you first visit to this Class of Star!\n\nCheck the Empyriopedia (F1) for more information about this Stella type and the benefits of exploring the galaxy!,,,,,,,,,,这是你首次访问此类恒星！\n\n查看帝国百科（F1）了解更多关于该类恒星的信息以及探索星系的增益！,,,,,,
pdaTP_88GOjCq,New Star type discovered!,,,,,,,,,,发现新恒星类型！,,,,,,
pdaTP_iiaZi,... Analysing Data ...,,,,,,,,,,正在分析数据...,,,,,,
pdaTP_SaeWY,"G-type stars, including the Sun, have prominent spectral lines H and K of Ca II, which are most pronounced at G2. They have even weaker hydrogen lines than F, but along with the ionized metals, they have neutral metals. There is a prominent spike in the G band of CH molecules.\n\nSpectral Class: G\nType: Yellow\nGalaxy Probability: 0.2\nSize Class: 10\nSurface Temperature: 5500 - 6000 K\nMass: 1x solar sun masses\nRadius: 1x solar sun radii\nLuminosity: 1x solar sun\nLifespan: 10 billion years\nHabitable zone: 57 - 75 AU\n\n[i]Note: Currently it is not possible to fly into the atmosphere of any sun-type or other celestial bodies.[/i]",,,,,,,,,,G型恒星（包括太阳）具有显著的Ca II谱线H和K，G2时最明显。它们的氢线比F型更弱，但除了电离金属外，还有中性金属。CH分子G带出现明显尖峰。\n\n光谱类型：G\n类型：黄\n星系概率：0.2\n尺寸等级：10\n表面温度：5500 - 6000 K\n质量：1倍太阳质量\n半径：1倍太阳半径\n光度：1倍太阳光度\n寿命：100亿年\n宜居带：57 - 75 AU\n\n[i]注意：目前无法飞入任何太阳型或其他天体的大气层。[/i],,,,,,
pdaTP_qOCma,Spectral Class: G Star,,,,,,,,,,光谱类型：G型恒星,,,,,,
pdaTP_eEua8CC,This is you first visit to this Class of Star!\n\nCheck the Empyriopedia (F1) for more information about this Stella type and the benefits of exploring the galaxy!,,,,,,,,,,这是你首次访问此类恒星！\n\n查看帝国百科（F1）了解更多关于该类恒星的信息以及探索星系的增益！,,,,,,
pdaTP_ie4mS,New Star type discovered!,,,,,,,,,,发现新恒星类型！,,,,,,
pdaTP_auuia,... Analysing Data ...,,,,,,,,,,正在分析数据...,,,,,,
pdaTP_4mc8u,K-type stars are orangish stars that are slightly cooler than a G-Type star. They make up about 12% of the main-sequence stars in the solar neighborhood.\n\nSpectral Class: K\nType: Orange/Yellow\nGalaxy Probability: 0.4\nSize Class: 10\nSurface Temperature: 4000 - 5500 K\nMass: 0.7x solar sun masses\nRadius: 0.8x solar sun radii\nLuminosity: 0.3x solar sun\nLifespan: 30 billion years\nHabitable zone: 49 - 64 AU\n\n[i]Note: Currently it is not possible to fly into the atmosphere of any sun-type or other celestial bodies.[/i],,,,,,,,,,K型星是略比G型星冷的橙色恒星。它们约占太阳邻域主序星的12%。\n\n光谱类型：K\n类型：橙/黄\n星系概率：0.4\n尺寸等级：10\n表面温度：4000 - 5500 K\n质量：0.7倍太阳质量\n半径：0.8倍太阳半径\n光度：0.3倍太阳光度\n寿命：300亿年\n宜居带：49 - 64 AU\n\n[i]注意：目前无法飞入任何太阳型或其他天体的大气层。[/i],,,,,,
pdaTP_uOGSi,Spectral Class: K Star,,,,,,,,,,光谱类型：K型星,,,,,,
pdaTP_80eb4aQ,This is you first visit to this Class of Star!\n\nCheck the Empyriopedia (F1) for more information about this Stella type and the benefits of exploring the galaxy!,,,,,,,,,,这是你首次造访此类恒星！\n\n查看帝国百科（F1）获取关于此类恒星类型的更多信息以及探索星系的益处！,,,,,,
pdaTP_GSe4O,New Star type discovered!,,,,,,,,,,发现新恒星类型！,,,,,,
pdaTP_u4Cg0,... Analysing Data ...,,,,,,,,,,... 分析数据中 ...,,,,,,
pdaTP_LumeC,"Class M stars are by far the most common. About 76% of the main-sequence stars in the solar neighborhood are class M stars. However, class M main-sequence stars (red dwarfs) have such low luminosities that none are bright enough to be seen with the unaided eye, unless under exceptional conditions. Typically, an M-type star's surface temperature is under about 4,000 K.\n\nSpectral Class: M\nType: Red Dwarf\nGalaxy Probability: 0.8\nSize Class: 9\nSurface Temperature: 2500 - 4000 K\nMass: 0.3x solar sun masses\nRadius: 0.4x solar sun radii\nLuminosity: 0.002x solar sun\nLifespan: 150-200 billion years\nHabitable zone: 42 - 54 AU\n\n[i]Note: Currently it is not possible to fly into the atmosphere of any sun-type or other celestial bodies.[/i]",,,,,,,,,,光谱类型：M型星,,,,,,
pdaTP_Mi44S,Spectral Class: M Star,,,,,,,,,,"M型恒星远为最常见。太阳附近约76%的主序星为M型星。然而，M型主序星（红矮星）的光度极低，除非在特殊条件下，否则没有一颗亮到可以用肉眼看到。通常，M型恒星表面温度低于约4,000 K。\n\n光谱类型：M\n类型：红矮星\n星系概率：0.8\n尺寸等级：9\n表面温度：2500 - 4000 K\n质量：0.3倍太阳质量\n半径：0.4倍太阳半径\n光度：0.002倍太阳光度\n寿命：1500-2000亿年\n宜居带：42 - 54 AU\n\n[i]注意：目前无法在任何恒星或其他天体的大气层中着陆或飞行。[/i]",,,,,,
pdaTP_u3WiW,New Star type discovered!,,,,,,,,,,发现新恒星类型！,,,,,,
pdaTP_aeKmuqS,This is you first visit to this Class of Star!\n\nCheck the Empyriopedia (F1) for more information about this Stella type and the benefits of exploring the galaxy!,,,,,,,,,,这是你首次造访此类恒星！\n\n查看帝国百科（F1）获取关于此类恒星类型的更多信息以及探索星系的益处！,,,,,,
pdaTP_ku8K4,... Analysing Data ...,,,,,,,,,,... 分析数据中 ...,,,,,,
